,session_id,hit_date,hit_time,hit_number,hit_type,hit_referer,hit_page_path,event_category,event_action,event_label,event_value
43,1129652168006181114.1640214275.1640214275,2021-12-23,642.0,3,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?utm_source_initial=facebook&utm_medium_initial=cpc&utm_campaign_initial=LwXiYdXdqypmXPvaqiGJ&rental_page=rental_car,card_web,view_card,,
44,1196766963356182278.1640277767.1640277767,2021-12-23,2025.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaazbyd7uae5wr4sn458verluzl8ddudnq-4ne10ryhyxzosepydxobx17w&external_browser_redirect=true,card_web,view_card,,
45,1142657019740975472.1640264047.1640264047,2021-12-23,20.0,4,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car&fbclid=paaay20ywwmgd_w2lfk5rtbfpbtxex5zklnftrgjbmwhnecr5gr7a0gixgkng_aem_awijcqpmiza0ltb5fd66tzna-7vamias6sgkzje45rgpgksuliuwwjok0vjkpzddx-6o00jafgiicxrlldk51pg7yg34rhheu29uwc-wlgkhnvlxtidppavtdd5qfxtzxmu,card_web,view_card,,
46,1299003862356012484.1640250191.1640250191,2021-12-23,368.0,7,event,CqGkajCZmVSQVVJUrbUz,sberauto.com/cars/all/porsche/cayenne/6f690f60?utm_referrer_initial=KFbagfnOxFaQKAmSviQq&rental_page=rental_only&rental_page=rental_car,card_web,view_card,,
47,1668197460121763837.1640251389.1640251389,2021-12-23,203.0,3,event,,sberauto.com/cars/all/renault/duster/145d53f1?rental_page=rental_car,card_web,view_card,,
48,1613857490943081433.1640233948.1640233948,2021-12-23,251.0,3,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar20ijt7ireuoyjap68mds_lnumwbvq5nlwj5ktii7axs4ostg1pitcxarg,card_web,view_card,,
49,1887216418278309519.1640228880.1640228880,2021-12-23,266.0,5,event,,sberauto.com/cars/all/kia/sorento/c38179cb?rental_page=rental_car,card_web,view_card,,
50,1870409292126143404.1640285100.1640285100,2021-12-23,2740.0,7,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car+&fbclid=paaaztb6zehenf5ncy5cuvhjbpslwwfnv0qpm6czjrxbs2-rl9sjhjav0yqmq&external_browser_redirect=true,card_web,view_card,,
51,2160026315649201869.1640257764.1640257764,2021-12-23,48.0,3,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?utm_source_initial=sbol&utm_medium_initial=push&utm_campaign_initial=sbJRYgVfvcnqKJNDDYIr&rental_page=rental_car,card_web,view_card,,
52,2388935544106392148.1640241749.1640241749,2021-12-23,2684.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabrva8lgibuim1pp2fzicmcfj9xkvrgtsvji4vrdk-xeornho1lybtns3m_aem_azoynvr42bmptyox70y_edtdxqikuctfk8fiuzwf8qisgszixlbafwmjcevn-ozemhnp6prkp4whj8-izs8uo-i93-cjpigb9dv4vwprcwvoynq42x7rhodnmdypszimz0c,card_web,view_card,,
